text,label
Prove you’re serious—pay the verification fee to delete everything.,scam
I’m a petroleum engineer abroad—camera keeps failing during calls.,scam
I had an accident; please send money for urgent hospital bills.,scam
Let’s move to Messenger; it’s easier to talk there.,scam
Meeting notes are in the shared folder.,normal
Customs seized my bag—pay the release fee so I can travel to you.,scam
Please send via wire transfer transfer today; I’m stranded and will repay soon.,scam
Did you feed the cat? I left food by the door.,normal
Add me on Telegram so I can show you trades.,scam
You’ll see 10% returns this week if you copy my trades.,scam
Can you send the assignment PDF before 7pm?,normal
Buy Amazon Amazon gift cards and send the codes—I’ll pay you back.,scam
"Let’s move this to Messenger, easier to share screenshots.",scam
If you loved me you would help with this transfer.,scam
I’ll transfer my share for dinner via the bank app tonight.,normal
Traffic is heavy; I’ll be 10 minutes late.,normal
You’re cute—let’s switch to video on WhatsApp right now 😉,scam
You’re cute—let’s switch to video on Signal right now 😉,scam
We downloaded your contact list—don’t force us to send the video.,scam
Buy Steam Steam gift cards and send the codes—I’ll pay you back.,scam
"Telegram is bad on the ship; messages only, okay?",scam
Buy gift cards and send the codes—I’ll pay you back.,scam
Water the plants every 3 days while I’m away.,normal
Buy Google Play Google Play gift cards and send the codes—I’ll pay you back.,scam
I left your book on the coffee table.,normal
Please send via Western Union today; I’m stranded and will repay soon.,scam
Your device is infected with spyware; pay to stop exposure.,scam
"Hello, did we meet last week? Maybe we can keep in touch.",scam
Install AnyDesk so I can help set up your banking quickly.,scam
Send Google Play Steam gift card codes; I’ll return it when my claim clears.,scam
My account is frozen—send funds to my associate instead.,scam
Buy a gift card and send the code to keep this private.,scam
I’ll email the slides after class.,normal
Upgrade to VIP for higher returns and faster withdrawals.,scam
Add me on Messenger so I can show you trades.,scam
Team dinner on Friday—any dietary restrictions?,normal
I need you to open a new bank account and share access to receive funds.,scam
Your account shows profit—add more funds to unlock larger returns.,scam
"I can teach you crypto—very low risk, steady daily profit.",scam
"Let’s move this to Telegram, easier to share screenshots.",scam
Send Google Play gift card codes; I’ll return it when my claim clears.,scam
We recorded your screen—pay in Bitcoin within 24 hours or we share it.,scam
Let’s meet at the library after class.,normal
Try a small deposit to see how fast profits arrive.,scam
Buy Apple Apple gift cards and send the codes—I’ll pay you back.,scam
Let’s split the Uber to the venue.,normal
Send Apple Amazon gift card codes; I just need to cover a fee.,scam
Join my VIP group—limited slots for high-return signals.,scam
Could you send a MoneyGram? I’ll reimburse after my pay clears.,scam
Send BTC now or we share your video with your family.,scam
Router reset fixed the internet—try again now.,normal
Install TeamViewer; I’ll configure your account safely for you.,scam
Happy birthday! Hope you have a great day.,normal
Call me when you reach the station.,normal
Send Apple gift card codes; I just need to cover a fee.,scam
Don’t tell your family yet—they won’t understand our situation.,scam
You’re cute—let’s switch to video on Messenger right now 😉,scam
Don’t tell friends; they don’t understand crypto and you’ll miss out.,scam
"Create an account here—deposit small first, then scale up.",scam
"Let’s move this to WhatsApp, easier to share screenshots.",scam
Let’s move to WhatsApp; it’s easier to talk there.,scam
Let’s move to Telegram; it’s easier to talk there.,scam
Reminder: rent due on the 1st.,normal
You’re cute—let’s switch to video on Telegram right now 😉,scam
Send Google Play Google Play gift card codes; I’ll return it when my claim clears.,scam
Send Google Play Amazon gift card codes; I’ll return it when my claim clears.,scam
Send Apple Steam gift card codes; I just need to cover a fee.,scam
Send Apple Vanilla Visa gift card codes; I just need to cover a fee.,scam
Thanks for the photos—sending the final draft tonight.,normal
The parcel arrived; I’ll drop it off later.,normal
Buy a Google Play gift card and send the code to keep this private.,scam
